goal,sol
slow cooker,can melt butter 
how to make coconut-almond truffles,"Combine 3/4 cup almond butter, 1/2 cup each confectioners’ sugar and unsweetened shredded coconut, 3 tablespoons cocoa powder and 1/2 teaspoon vanilla; work into a dough. Roll into balls, then roll in shredded coconut. Chill."
Cut out pages from a book,Using a plastic knife open the book and cut along the page near the binding.
How do you make maracas?,Wash the water bottle and remove the label with Goo Gone.     Fill the bottle with a handful of marbles and beads.     Glue the lid on the bottle with plastic adhesive to make sure those little bits don't ever get out.
To make a chalkboard out of wooden pallet planks.,Use chalkboard paint on the wood.
crayon,can color  the paper nicely
How to get water out of coconut.,Use a hammer and a nail to pierce a few holes in the top of the coconut. Pour into colander.
What is the best way to apply nail polish to a professional result?,"Tape the cuticles with any kind of tape that has been cut to fit snugly around the nail. Then go ahead and paint the nails. Remove the tape and if you still got nail polish on your cuticle or fingers, dip a q-tip in nail polish remover and wipe the excess away."
How can I get a stain out of my new hooded sweatshirt?,"Dab it with a rag and a some cold water. Then, apply stain remover and launder the clothes."
fridge,prevents live plants from spoiling
"To melt chocolate, you can",Place in a metal pot over the stove
One wants to watch free public broadcasts.,One should set up a cable box.
Establish a health history for new puppy.,Take to the vet after a few months.
How do you remove mortar from a brick to recycle it (the brick)?,"While holding the brick in one hand, hold a hammer in your other hand and gently tap the mortar to un-stick it from the brick."
"To allow yourself to make edits, while writing by hand.","Use a pencil, instead of a pen, so you can erase any mistakes."
How can I clean my toenails of debris?,Take a pencil tip and work under your nails with it to get the junk out from under them.
hot pad,can take away stomach ache quickly
Remove smell from camping gear.,Throw in sock filled with cat food.
Get a babysitting job.,Not old enough to work? You can babysit. Let your parents know and ask them to tell their friends.Make sure to charge enough and have fun with the kids.
How do you prepare paper for papier mache pulp?,Find old cardboard boxes and make them flat. Cut them with scissors until you have a full bucket of tiny paper pieces.
"To prepare the cream for baking,","measure 2 cups of heavy cream with a measuring cup and pour into an 8"" square baking dish."
Eat a well balanced diet,Fruit helps to satisfy your sweet tooth thanks to its natural sugars
Cut the sleeves off the shirt,Use scissors and cut along the seam at the bottom of the sleeve
straw,can be lit for fire to stay warm
"To charge a phone while out in public with only the charger,",ask a friendly looking stranger on the street to charge it.
to store cast iron pans so they stay dry,store with old rags or beach towels between them
"What do you need to make homemade ""Blackhead Pore Strips""?",You will need: 1) water 2) unflavored gelatin 3)  activated charcoal 4) wash cloth 5) paint brush 6) microwave and 7) something to stir with
How can I tell if my apples are genetically grown (or altered),The 5 Web addresses on the label will begin with the number 911.
