goal,sol1,sol2
slow cooker,can melt butter ,can melt copper 
how to make coconut-almond truffles,"Combine 3/4 cup almond butter, 1/2 cup each confectioners’ sugar and unsweetened shredded coconut, 3 tablespoons cocoa powder and 1/2 teaspoon vanilla; work into a dough. Roll into balls, then roll in shredded coconut. Chill.","Combine 3/4 cup almond marzipan paste , 1/2 cup each confectioners’ sugar and unsweetened shredded coconut, 3 tablespoons cocoa powder and 1/2 teaspoon vanilla; work into a dough. Roll into balls, then roll in shredded coconut. Chill."
Cut out pages from a book,Using an x-acto knife open the book and cut along the page near the binding.,Using a plastic knife open the book and cut along the page near the binding.
How do you make maracas?,Wash the water bottle and remove the label with Goo Gone.     Fill the bottle with a handful of marbles and beads.     Glue the lid on the bottle with plastic adhesive to make sure those little bits don't ever get out.,Wash the water bottle and remove the label with Goo Gone.    Fill the bottle with a spoonful of marbles and beads.     Glue the lid on the bottle with plastic adhesive to make sure those little bits don't ever get out.
To make a chalkboard out of wooden pallet planks.,Use chalk paint on the wood.,Use chalkboard paint on the wood.
crayon,can color  the walls nicely,can color  the paper nicely
How to get water out of coconut.,Use a hammer and a nail to pierce a few holes in the top of the coconut. Pour into cup.,Use a hammer and a nail to pierce a few holes in the top of the coconut. Pour into colander.
What is the best way to apply nail polish to a professional result?,"A quick way to apply the nail polish is to use a fairly big brush, and then use flesh-colored nail polish to cover up any places that turned out messy.","Tape the cuticles with any kind of tape that has been cut to fit snugly around the nail. Then go ahead and paint the nails. Remove the tape and if you still got nail polish on your cuticle or fingers, dip a q-tip in nail polish remover and wipe the excess away."
How can I get a stain out of my new hooded sweatshirt?,"Dab it with a rag and a some cold water. Then, apply stain remover and launder the clothes.","Dab it with a rag and a some hot water. Then, apply stain remover and launder the clothes."
fridge,prevents meat from spoiling,prevents live plants from spoiling
"To melt chocolate, you can",Place in a metal pot over the stove,Place in a metal pot in the microwave
One wants to watch free public broadcasts.,One should set up an antenna.,One should set up a cable box.
Establish a health history for new puppy.,Take to the vet right away.,Take to the vet after a few months.
How do you remove mortar from a brick to recycle it (the brick)?,"While holding the brick in one hand, hold a hammer in your other hand and gently tap the mortar to un-stick it from the brick.","While holding the brick in one hand, hold a second brick in your other hand and forcefully hit the two bricks together."
"To allow yourself to make edits, while writing by hand.","Use a pencil, instead of a pen, so you can erase any mistakes.","Use a pen, instead of a pencil, so you can erase any mistakes."
How can I clean my toenails of debris?,Take a pencil tip and work under your nails with it to get the junk out from under them.,Take a pencil eraser and work under your nails with it to get the junk out from under them.
hot pad,can take away nausea quickly,can take away stomach ache quickly
Remove smell from camping gear.,Throw in sock filled with cat litter.,Throw in sock filled with cat food.
Get a babysitting job.,Not old enough to work? You can babysit. Let your parents know and ask them to tell their friends.Make sure to charge enough and have fun with the kids.,Not old enough to work? You can babysit. Let your parents know and ask them to tell their friends.Make sure to charge enough and have fun with the cows.
How do you prepare paper for papier mache pulp?,Find old cardboard boxes and make them flat. Cut them with scissors until you have a full bucket of tiny paper pieces.,Find old newspaper or tissue paper from Christmas. Cut them with scissors until you have a full bucket of tiny paper pieces.
"To prepare the cream for baking,","measure 2 cups of heavy cream with a measuring cup and pour into an 8"" square baking dish.","measure 2 cups of heavy cream with a measuring cup and pour into an 8"" round colander."
Eat a well balanced diet,Fruit helps to satisfy your sweet tooth thanks to its natural sugars,Vegetables helps to satisfy your sweet tooth thanks to its natural sugars
Cut the sleeves off the shirt,use scissors and cut along the seam that attaches the sleeves to the shirt,Use scissors and cut along the seam at the bottom of the sleeve
straw,can be lit for fire to stay warm,can be lit for water to stay warm
"To charge a phone while out in public with only the charger,",ask a friendly looking stranger on the street to charge it.,take the phone into a coffee shop and use the free power.
to store cast iron pans so they stay dry,store with old rags or beach towels between them,store with old rags or paper towel between them
"What do you need to make homemade ""Blackhead Pore Strips""?",You will need: 1) water 2) unflavored gelatin 3)  activated charcoal 4) wash cloth 5) paint brush 6) microwave and 7) something to stir with,You will need: 1) water 2) unflavored gelatin 3)  granulated sugar 4) wash cloth 5) paint brush 6) microwave and 7) something to stir with
How can I tell if my apples are genetically grown (or altered),The 5 numbers on the label will begin with the number 8.,The 5 Web addresses on the label will begin with the number 911.
To thicken a mixture,Add corn starch,Add corn syrup
Remove an ant colony.,Spray a mix of 3/4 water and 1/4 salt on ants.,Spray a mix of 1/4 water and 3/4 salt on ants.
,,
serrated knife,can cut glass ,can cut a can 
How to quickly dry a towel?,"Once the towel is washed, twist and strain it in the bathtub then dry in the dryer and hang outside afterward","Before the towel is washed, twist and strain it in the bathtub then dry in the dryer and hang outside afterward"
Write a children's book,"Go to the library and find a very popular children's book, if you don't know which are which, ask the librarian to help you to get the one that the majority of kids in the target age group tend to check out of the library.     Now check it out and take it home and try to copy it but change a word here and there so that you won't be sued for plagiarism .. find an . illustrator, self publish","Research what may be needed now in society, concerning children's books. find an illustrator, make a practice book and then sharpen it until it's honed to perfetion, ask for some critique, apply or don't. And publish"
Deodorize an item.,Keep item in a trash bag full of kitty litter for a few hours.,Keep item in a trash bag full of kitty litter for a few weeks.
"To attach strips of cardboard to a larger piece of cardboard, you can",Use a sanding belt to hold the strips of cardboard in place,Use a hot glue gun to hold the strips of cardboard in place
How do you leach acorns via cold process?,"Place the acorns in a jar and pour in just enough water to completely cover the acorns. Let it soak for a day, and then pour out and replace the water with fresh water. Repeat this for one week.","Place the acorns in a jar and pour in just enough water to completely cover the acorns. Let it soak for a month, and then pour out and replace the water with fresh water. Repeat this for one year."
Prevent soggy microwave pizza.,Add a cup of milk next to pizza in microwave.,Add a cup of water next to pizza in microwave.
how to make deviled eggs,"Start with fresh cooled eggs. Slice the eggs in half lengthwise, removing yolks to a medium bowl, and placing the whites on a serving platter. Mash the yolks into a fine crumble using a fork. Add mayonnaise, vinegar, mustard, salt, and pepper, and mix well. Evenly disperse heaping teaspoons of the yolk mixture into the egg whites","start with hard boiled, cooled eggs. Slice the eggs in half lengthwise, removing yolks to a medium bowl, and placing the whites on a serving platter. Mash the yolks into a fine crumble using a fork. Add mayonnaise, vinegar, mustard, salt, and pepper, and mix well. Evenly disperse heaping teaspoons of the yolk mixture into the egg whites"
How do you prepare mashed yams to be cooked?,"Wash, peel, and trim the yams. Place the yams onto a cutting board and use a sharp knife to cut them into large, uniform chunks that are all approximately the same size.","Wash, peel, and trim the yams. Place the yams onto a cutting board and use a sharp knife to cut them into small, irregular chunks that are all varying  same size."
To dust your ceiling fan,"Use a pillow case, and put it over each blade individually, and pull towards you to keep the dust inside of the pillow case.","Use a leaf blower, point it towards each blade individually, and turn it on to spray the dust around the room."
how to grill boneless chicken?,low and slow for at least six hours.,quickly over direct heat
how do you open a wrapped present?,tear off all the wrapping.,cut off the wrapping paper.
Scrub tough grime off kitchen counter tops.,Use a vegetable mesh bag to clean.,Use a vegetable plastic bag to clean.
Roughen up the smooth surface of a hanger,"Slide a piece of fine grade sand paper over the edges of the hanger, until the hanger surface is no longer smooth","Slide a piece of fine grade sand paper over the entire hanger, until the hanger surface is no longer smooth"
how do you get a dog to fetch?,"throw a ball away from the dog and yell ""fetch""","pick an object away from the dog and yell ""fetch"""
"To make a photocopy of a page in a book,","find the page in the book, place it onto the glass of the photocopier with the page facing up, then press the copy button.","find the page in the book, place it onto the glass of the photocopier with the page facing down, then press the copy button."
protractor,can stab pill bug ,can stab leopard 
How do you separate the yolk from the egg white?,Crack the egg and split the shell in quarters.  Gently pass the yolk back and forth between the shell quarters until the egg white is removed.,Crack the egg and split the shell in half.  Gently pass the yolk back and forth between the shell halves until the egg white is removed.
What is the best material to be used for the solar air heating box?,Use a wooden box of required size and punch holes on the for allowing air passage.,"Choose a metallic box of required size, with holes punched on them for air passage."
To cut circles out of dough without a cookie cutter.,Use a shot glass by turning it upside down and using the rim.,Use a glass by turning it upside down and using the rim.
To wash clothes in a washing machine.,"Sort the clothes according to colors, put clothes with similar colors in the same load and wash.","Sort the clothes according to sizes, put clothes with similar sizes in the same load and wash."
How to attract hummingbirds to your garden?,Hummingbirds are territorial so it is best to have several different feeders or patches of flowers that hummingbirds will be attracted to. Otherwise they might fight and they will leave and not want to return.,"If you hum a tune while you garden, humming birds will want to sing along with you so you don't have to really bother with feeders or special flowers."
How can you improve the chance you will remember something?,Repeat material over and over verbally.  People remember 50 percent more when they verbalize things.,Repeat the Lords prayer over and over verbally.  People remember 50 percent more when they verbalize a prayer.
To cure a hangover,Try honey on crackers. The fructose in the honey will flush out the alcohol in your system.,Try honey on crackers. The fructose in the honey will flush out the crackers in your system.
how to clean a container that held melted wax,Heat the measuring cup so that all the wax inside is liquid. Then wipe out measuring cup with a paper towel. Repeat if necessary to get all of the wax out.,Heat the measuring cup so that all the wax inside is liquid and rehardened. Then wipe out measuring cup with a paper towel. Repeat if necessary to get all of the wax out.
