goal,sol1,sol2,gt,id
peeler,can be used as a decoration on a television ,can be used as a decoration on a sock ,0,4249278f-ec7c-4c7e-b9db-b82bddf6ac3e
"To make a bedroom temperature colder without a fan or air conditioner,","hang up a thick, and dark blanket over the windows and then ensure their is proper air flow in the room.",wave a large blanket up and down to generate a gust of wind to cool the room down when it gets too hot.,0,8dc24b65-c6b9-472c-b5f4-d4753a58cafd
How to brine a turkey before cooking?,"Boil water with spices and any adjuncts you'd like, bring the water to a cool temperature and then submerge the turkey for several hours in the cold brine","Boil water with spices and any adjuncts you'd like, bring the water to a boiling temperature and then submerge the turkey for several hours in the hot brine",0,9fcc0b8c-5ee7-4d18-b151-502376f9e088
To set the J bolt into the concrete mix in the mold.,"Push in the J bolt into the poured concrete mix in the mold before it cures, making sure it's straight and square.","Push in the J bolt into the poured concrete mix in the mold after it cures, making sure it's straight and square.",0,3d28ac9e-e9c2-40fa-a99d-39c62ae1ca23
Eliminate odors in the laundry room.,"Spray dirty laundry with air freshener, and open a window to clear the room of smell.",Combine baking soda and essential oil.  Place in an open jar in laundry room.,1,ba1730c1-64cc-4a2d-864b-fb93b65ff5af
How do you harvest honey from a bee box?,"Smoke the bees. Once they are calm, remove the frames that are completely filled with honey from the hive. Use a sharp knife to cut off the wax that caps each comb. Once the combs are all opened, you can use an extractor to drain the honey out of the comb. You can also place the frame over a bucket and let the honey drain into the bucket over a few days time.","Smoke the bees. Once they are calm, remove the frames that are completely filled with honey from the hive. Use a sharp knife to cut off the comb from each frame. Once the combs are all opened, you can use an extractor to drain the honey out of the comb. You can also place the frame over a bucket and let the honey drain into the bucket over a few days time.",0,a5f2fdd1-71ab-46d3-8c7f-8f6d6b2ead0b
"To extend the shelf life of lettuce,",wrap it in paper towels before storing it in a bag.,wrap it in foil wrap instead of storing it in a bag.,0,a252f1a0-270d-496c-a6f6-3d0332fa1c6e
how do you give your fingerprints at a police station?,place them in an ink trey and they automatically transfer to their system.,place them in an ink trey and then stick them on the sheet of paper.,1,90c7e068-b1e1-4f33-9473-c0f231c106cc
crossing out,ugly people from the bachelor is cool,ugly people from planet earth is cool,0,4905faa6-659e-4f36-8361-d9b2d5d5cc05
How do I make the pattern for the baby leather shoes?,Create a template on a piece of paper by placing your babies shoe on the paper and drawing around it.,Create a template on a piece of paper by placing your babies foot on the paper and drawing around it.,0,9ffa0cb6-a70a-4671-a806-37079ba3c7b8
blankets,can cover lights ,can cover candles ,0,6c2b6ff1-d59c-4d58-889e-3a56d3128c75
"To make the caffeine in coffee release slowly after consumption,","Use a non-fat coffee cream powder instead of cream or milk in your coffee, to dilute the portion of coffee in the beverage.",add butter to the coffee so that the caffeine combines into the butter and trickles into the body slower.,1,8104bf22-9043-49b8-b14c-ef03ad5ec8f1
napkin,protect ice cream scoop from damage,hold ice cream scoop to keep hands warm,1,cbf4a113-0286-4392-8eb8-89fc0218c290
toilet tissue,is the same color as flour most of the time,is the same color as t-shirt most of the time,0,0c700fdf-c955-466f-b91b-04e8ff7397c3
How to prevent BBQ chicken skin from burning on the grill?,Place a drip tray underneath the chicken and above the coals to prevent flare ups from happening,Place a drip tray underneath the coals and the chicken to prevent flare ups from happening,0,2294a8d1-b082-480b-ae60-891e5c791a7c
To prevent burning overflowed cookie batter to your oven,Be sure to place a bedding sheet below the cooling rack to catch anything that falls,Be sure to place a cookie sheet below the cooling rack to catch anything that falls,1,c0110b8b-3197-4f00-aefe-35996b063378
table top,can be broken by a gorilla ,can be broken by a finger ,0,9af5d4d3-f520-4ae7-9a93-c3d4ad719336
