goal,sol,gt,ai2id,qualtid_org,qualtid_new
slow cooker,can melt copper ,0,dd720b80-3b1a-4653-96ee-9c7d3ac63174,1_Q2,1_Q2
how to make coconut-almond truffles,"Combine 3/4 cup almond marzipan paste , 1/2 cup each confectioners’ sugar and unsweetened shredded coconut, 3 tablespoons cocoa powder and 1/2 teaspoon vanilla; work into a dough. Roll into balls, then roll in shredded coconut. Chill.",0,ffdf1cd3-5a07-4b6d-abac-92e18b0bdca8,2_Q2,2_Q2
Cut out pages from a book,Using an x-acto knife open the book and cut along the page near the binding.,1,f7482dbc-7a06-4dc8-b48d-ced7120e1a35,3_Q2,3_Q2
How do you make maracas?,Wash the water bottle and remove the label with Goo Gone.    Fill the bottle with a spoonful of marbles and beads.     Glue the lid on the bottle with plastic adhesive to make sure those little bits don't ever get out.,0,c1ec235b-5e85-4fa3-a3ab-2ecf2a9b712c,4_Q2,4_Q2
To make a chalkboard out of wooden pallet planks.,Use chalk paint on the wood.,0,91b48e61-d7db-4692-afd2-d4a132b035e2,5_Q2,5_Q2
crayon,can color  the walls nicely,0,7791df53-6ed3-464f-8179-7f580b282308,6_Q2,6_Q2
What is the best way to apply nail polish to a professional result?,"A quick way to apply the nail polish is to use a fairly big brush, and then use flesh-colored nail polish to cover up any places that turned out messy.",0,1997fb6c-e978-40f9-83a1-33d3d2f9b390,8_Q2,7_Q2
How can I get a stain out of my new hooded sweatshirt?,"Dab it with a rag and a some hot water. Then, apply stain remover and launder the clothes.",0,014a9173-ec93-4d52-bc51-f12c1b4bf49d,9_Q2,8_Q2
fridge,prevents meat from spoiling,1,63a07b3e-3016-4fc5-b14a-06b5afe07e43,10_Q2,9_Q2
"To melt chocolate, you can",Place in a metal pot in the microwave,0,64f50dba-7349-43c7-8dfa-1723270d80cf,11_Q2,10_Q2
How do you remove mortar from a brick to recycle it (the brick)?,"While holding the brick in one hand, hold a second brick in your other hand and forcefully hit the two bricks together.",0,2b95cf37-9820-4e4b-a880-cec4ef20968d,14_Q2,11_Q2
"To allow yourself to make edits, while writing by hand.","Use a pen, instead of a pencil, so you can erase any mistakes.",0,9bd3eb15-03a1-457b-8cfd-a4505c5d653f,15_Q2,12_Q2
How can I clean my toenails of debris?,Take a pencil eraser and work under your nails with it to get the junk out from under them.,0,2c566ce9-37e5-486a-946d-9172ded449dd,16_Q2,13_Q2
Remove smell from camping gear.,Throw in sock filled with cat litter.,1,a2025131-3d66-4f32-9a86-24dcaead0c17,18_Q2,14_Q2
Get a babysitting job.,Not old enough to work? You can babysit. Let your parents know and ask them to tell their friends.Make sure to charge enough and have fun with the cows.,0,d3225723-6265-4b56-ba18-22f7c933c5f1,19_Q2,15_Q2
How do you prepare paper for papier mache pulp?,Find old newspaper or tissue paper from Christmas. Cut them with scissors until you have a full bucket of tiny paper pieces.,1,e74b13f6-1c9a-4633-afa2-c08d02f271ea,20_Q2,16_Q2
Eat a well balanced diet,Vegetables helps to satisfy your sweet tooth thanks to its natural sugars,0,ce608435-9335-4778-bd5e-1196f3ac4543,22_Q2,17_Q2
Cut the sleeves off the shirt,use scissors and cut along the seam that attaches the sleeves to the shirt,1,5c1681a1-6aa0-4907-8842-ea1c30351993,23_Q2,18_Q2
"To charge a phone while out in public with only the charger,",take the phone into a coffee shop and use the free power.,1,3a2e0313-a319-4115-bf08-6adc8aa8bb7e,25_Q2,19_Q2
"What do you need to make homemade ""Blackhead Pore Strips""?",You will need: 1) water 2) unflavored gelatin 3)  granulated sugar 4) wash cloth 5) paint brush 6) microwave and 7) something to stir with,0,5b93b823-0493-47c1-bbfc-718f6e2f898b,27_Q2,20_Q2
How can I tell if my apples are genetically grown (or altered),The 5 numbers on the label will begin with the number 8.,1,0d7e465a-5e70-4bb2-88e7-e4d60f2d4b58,28_Q2,21_Q2
To thicken a mixture,Add corn syrup,0,53f879d0-dab0-40ac-b57d-2c03195fc34b,29_Q2,22_Q2
Remove an ant colony.,Spray a mix of 3/4 water and 1/4 salt on ants.,1,7356ac59-c539-46ee-b25d-646ff1575306,30_Q2,23_Q2
serrated knife,can cut a can ,1,6d38627e-f3c1-4396-ad42-955e1097110e,1_Q3,24_Q2
How to quickly dry a towel?,"Before the towel is washed, twist and strain it in the bathtub then dry in the dryer and hang outside afterward",0,69c87aac-5563-4fd9-ac15-1d80e694436d,2_Q3,25_Q2
Write a children's book,"Go to the library and find a very popular children's book, if you don't know which are which, ask the librarian to help you to get the one that the majority of kids in the target age group tend to check out of the library.     Now check it out and take it home and try to copy it but change a word here and there so that you won't be sued for plagiarism .. find an . illustrator, self publish",0,0c78689f-edb3-485e-a91e-951fb6c74bc4,3_Q3,26_Q2
Deodorize an item.,Keep item in a trash bag full of kitty litter for a few weeks.,0,101a0b84-a624-4fc4-aa48-622e094f0da3,4_Q3,27_Q2
"To attach strips of cardboard to a larger piece of cardboard, you can",Use a sanding belt to hold the strips of cardboard in place,0,c9944b47-d7ac-4061-a3e9-9cd1f0c559a6,5_Q3,28_Q2
Prevent soggy microwave pizza.,Add a cup of water next to pizza in microwave.,1,7b4b49d6-f0a1-4718-be70-ce06e83ebf28,7_Q3,29_Q2
how to make deviled eggs,"Start with fresh cooled eggs. Slice the eggs in half lengthwise, removing yolks to a medium bowl, and placing the whites on a serving platter. Mash the yolks into a fine crumble using a fork. Add mayonnaise, vinegar, mustard, salt, and pepper, and mix well. Evenly disperse heaping teaspoons of the yolk mixture into the egg whites",0,2bc8e29c-89e1-41b9-bd68-e046411fe7f0,8_Q3,30_Q2
,,,,,
To dust your ceiling fan,"Use a pillow case, and put it over each blade individually, and pull towards you to keep the dust inside of the pillow case.",1,1f7dc855-419f-4f98-b38c-a6f6f4d588ee,10_Q3,1_Q3
how to grill boneless chicken?,low and slow for at least six hours.,0,e9c56692-60f3-4602-ba52-8b020e329a04,11_Q3,2_Q3
Scrub tough grime off kitchen counter tops.,Use a vegetable mesh bag to clean.,1,b1658ecf-7b66-4959-b9b3-9dced3a4f8b5,13_Q3,3_Q3
how do you get a dog to fetch?,"throw a ball away from the dog and yell ""fetch""",1,a931ab1f-e2a5-4cc2-bd3e-a14d68f8a930,15_Q3,4_Q3
"To make a photocopy of a page in a book,","find the page in the book, place it onto the glass of the photocopier with the page facing down, then press the copy button.",1,d65b371f-df59-40f0-bdf7-309c9bee18d2,16_Q3,5_Q3
How do you separate the yolk from the egg white?,Crack the egg and split the shell in quarters.  Gently pass the yolk back and forth between the shell quarters until the egg white is removed.,0,0bf9db0d-c775-4cab-b081-1388222bdf93,18_Q3,6_Q3
What is the best material to be used for the solar air heating box?,"Choose a metallic box of required size, with holes punched on them for air passage.",1,75f4d8b3-2a1b-4525-8de9-74831f6952e3,19_Q3,7_Q3
To cut circles out of dough without a cookie cutter.,Use a shot glass by turning it upside down and using the rim.,0,589d2979-9710-41f3-ac14-83c464979dae,20_Q3,8_Q3
To wash clothes in a washing machine.,"Sort the clothes according to colors, put clothes with similar colors in the same load and wash.",1,c1074da6-8bb5-4e70-8a2a-0a25e6c45611,21_Q3,9_Q3
How to attract hummingbirds to your garden?,"If you hum a tune while you garden, humming birds will want to sing along with you so you don't have to really bother with feeders or special flowers.",0,4678247c-c336-4788-b80b-8adcfb33bfdd,22_Q3,10_Q3
How can you improve the chance you will remember something?,Repeat material over and over verbally.  People remember 50 percent more when they verbalize things.,1,ba7b0f16-e50e-474e-8f4c-21ca72b4b75b,23_Q3,11_Q3
To cure a hangover,Try honey on crackers. The fructose in the honey will flush out the alcohol in your system.,1,4346769d-34de-471d-8fd9-7b4ad40e61de,24_Q3,12_Q3
How to make lemon Cooler cookie Ice cream at home.,"In a medium mixing bowl combine 7 cups chilled whipping cream, 2 14 oz. cans sweetened condensed milk and 1 teaspoon lemon extract.   Beat with an electric mixer until soft Peaks form add 3/4 cup Chopped Lemon Cooler Cookies. Transfer mixture to 8x8x2 inch baking pan.  Freeze about 8 hours until firm.",1,1563a1b0-c670-4384-900b-495dba8c143b,26_Q3,13_Q3
how do you make a copy of a key?,cut out a piece of metal in the same shape of your key.,0,088ef680-2d25-44c5-bb4f-37e0ab98a06f,27_Q3,14_Q3
"To make a pastry crispier after it has gone soft,","add it to a low temperature oven for a few minutes, or a toaster.",1,1b51e7b3-d060-400a-8fcf-0b4c7442385c,28_Q3,15_Q3
Make clothes drawer dividers.,Cut the bottoms off tissue boxes.,0,822cd101-277d-46ac-af5b-95b860ade2ae,29_Q3,16_Q3
baskets,can store footballs  ,1,20910dfd-5f89-4351-acfd-e343ae53a930,30_Q3,17_Q3
How to make tuna salad.,"Once you've opened the can of tuna, add the brine to the bowl. Next, add the tuna to a bowl. Stir in the rest of your ingredients : Mayo, celery, onion, pickle relish, garlic, and lemon juice. Mix well and season to taste with salt and pepper.",0,a6b51dea-86fd-4a0d-ba6a-af27889d1de1,1_Q4,18_Q3
How to make Caramel Chocolate chip Girl Scout Cookie Vanilla Ice cream at home.,"In a medium mixing bowl combine 7 cups chilled Caramelized Onions, 2 14 oz. cans sweetened condensed milk 1 teaspoon Vanilla extract.  Beat with an electric mixer until soft Peaks form. Stir in 1 1/2 cups Caramel Chocolate Chip Girl Scout cookies (Sliced in 3/4"" strips or crumbles)  and 1/2 cup Chocolate chips.  Transfer mixture to two 8x8x2 inch baking pans. Freeze about 8 hours until firm.",0,6b43bbf6-5075-43d3-a0fb-188da8d9f367,2_Q4,19_Q3
stapler,can bash open  bank vault  ,0,f948900c-e50e-4233-9e68-b57e8737b39d,3_Q4,20_Q3
To keep homemade apple juice from turning brown.,"You can take any vitamin c tablets, and add a small, small amount to the food processor. I chop a 500mg tablet into quarters and add one of those to each processor load.",1,22520fc1-6170-4418-a85a-feaa15c61132,4_Q4,21_Q3
"crisp, textured layers in crust","add cheerwine to the dough. The cheerwine evaporates while it’s being cooked, and the dough is left hard and brittle",0,55f30f6b-c7de-4953-a4d4-36dccf059ae1,5_Q4,22_Q3
dish towel,will wipe away dirty grimy and awful stains from the counter,1,0f2e0f8f-72fd-44ea-a44d-b72b64d347e1,6_Q4,23_Q3
Easy way to maintain a shopping list for groceries.,"Save time by creating your shopping bag during the week. Keep a blank piece of paper or use a magnetic message board and as you run out of things, put them in the bag. That way you won't need to waste time thinking about what you ran out of.",0,def51e91-360e-4623-9279-06492d7c606f,7_Q4,24_Q3
To make an alcohol watermelon.,Cut a hole in the watermelon and pour your favorite liquor in and let it sit.,1,e038db31-e600-49ee-8106-4d84a4ffb34d,9_Q4,25_Q3
Organize restaurant delivery menus.,Mount a cap holder to wall or inside door.,0,fc142180-018f-49b3-8780-8367db9370fa,12_Q4,26_Q3
See designs of all t-shirt designs at once.,Fold shirts in stacks before storing.,0,a8e4e1b9-0f9c-4b95-ab02-fc502f3d3c27,13_Q4,27_Q3
how do you use a zipper?,pull it along the zip line to close or open an object.,1,b39dc35d-2360-421a-9432-5fb66f8b91a9,14_Q4,28_Q3
Finish the concrete patio.,Level the concrete using sweeps with float purchased from a local hardware store.,0,a98ec6c6-d505-4d57-9f70-b839d889f49c,15_Q4,29_Q3
To know when your plaster mold is ready to break open,You can use a timer to keep track of how much time it takes for the plaster to dry.,1,f51f2fab-9893-4025-b15c-61f6aa7cad89,16_Q4,30_Q3
,,,,,
How to paint your go cart?,Fill the holes with epoxy and a spatula. Put the undercoat into your spray gun and use in a even coat. Then spray your top layer Sand down any paint splotches.,1,448f0c5c-d9ec-4552-999b-47cfbfe0ca4a,17_Q4,1_Q4
fertilizer,can be used for  growing plants ,1,0e37f6f3-4e5f-4e37-bfb3-74b5748c3ccd,18_Q4,2_Q4
How to prepare to patch a bicycle tube?,"Once you've isolated the puncture, scrape it smooth with some sandpaper until it is rough and open then apply the patching glue",0,4a02688c-efc6-4bf7-9bb1-929745665474,19_Q4,3_Q4
how do you find out what's wrong with a car?,read the codes with a machine.,1,532467ad-df88-4ef0-b21f-22dd2389a312,20_Q4,4_Q4
